Agency Abbreviation,Bureau Name,Program Account/Fund,Public Law,Program Name (if different),Appropriated,Announced/Allocated,Obligated,Outlayed,State,Date,Funding Source,Disaster Number
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$10,644,625.00","$10,644,625.00","$10,644,625.00",CT,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$635,391.88","$635,391.88","$635,391.88",DE,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$93,240,146.96","$93,240,146.96","$93,240,146.96",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$590,061.15","$590,061.15","$590,061.15",IA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$75,196.84","$75,196.84","$75,196.84",IN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$1,445,375.00","$1,445,375.00","$1,445,375.00",KS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$921,437.86","$921,437.86","$921,437.86",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$15,482,713.24","$15,482,713.24","$15,482,713.24",MA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$905,231.25","$905,231.25","$905,231.25",MD,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$632,336.78","$632,336.78","$632,336.78",MI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$788,184.82","$788,184.82","$788,184.82",MN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$539,932.95","$539,932.95","$539,932.95",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$618,375.00","$618,375.00","$618,375.00",NH,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$10,577,125.00","$10,577,125.00","$10,577,125.00",NJ,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$15,329,966.00","$15,329,966.00","$15,329,966.00",NY,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$6,042,978.17","$6,042,978.17","$6,042,978.17",OH,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$13,791,650.68","$13,791,650.68","$13,791,650.68",PA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$69,231,191.01","$69,231,191.01","$69,231,191.01",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$1,137,000.00","$1,137,000.00","$1,137,000.00",RI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$238,875.00","$238,875.00","$238,875.00",SC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$629,196.22","$629,196.22","$629,196.22",TN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$124,161,452.71","$124,161,452.71","$124,161,452.71",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$2,474,157.58","$2,474,157.58","$2,474,157.58",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$3,408,180.66","$3,408,180.66","$3,408,180.66",WI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$7,015,109.23","$7,015,109.23","$7,015,109.23",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$74,192,465.59","$74,192,465.59","$49,309,836.67",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$3,050,918.75","$3,050,918.75","$2,930,715.42",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,C- Emergency PL 115-123,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$11,174,451.00","$11,174,451.00","$11,174,451.00",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$15,971,869.89","$15,971,869.89","$15,971,869.89",CA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$9,122,065.30","$9,122,065.30","$9,122,065.30",CNMI,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$44,152,095.13","$44,152,095.13","$44,152,095.13",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$186,410.94","$186,410.94","$186,410.94",MS,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$3,322,999.29","$3,322,999.29","$3,322,999.29",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$427,096.00","$427,096.00","$427,096.00",OH,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Immediate Aid to Restart School Operations ,$0.00,"$10,339,345.11","$10,339,345.11","$10,339,345.11",TX,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Project School Emergency Response to Violence (SERV),$0.00,"$1,629,511.00","$1,629,511.00","$1,629,511.00",CA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Project School Emergency Response to Violence (SERV),$0.00,"$638,043.72","$638,043.72","$638,043.72",CNMI,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Project School Emergency Response to Violence (SERV),$0.00,"$1,819,718.80","$1,819,718.80","$1,819,718.80",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Project School Emergency Response to Violence (SERV),$0.00,"$285,003.14","$285,003.14","$285,003.14",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$4,499,071.00","$4,499,071.00","$4,499,071.00",CA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$16,368,000.00","$16,368,000.00","$16,368,000.00",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$182,718.00","$182,718.00","$182,718.00",MD,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$73,688.00","$73,688.00","$73,688.00",MS,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$12,937.50","$12,937.50","$12,937.50",NE,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$295,242.00","$295,242.00","$295,242.00",NJ,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Elementary and Secondary Education Hurricane Relief - Temporary Emergency Impact Aid for Displaced Students,$0.00,"$467,250.00","$467,250.00","$467,250.00",WI,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$13,772.00","$13,772.00","$13,772.00",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$4,259,378.00","$4,259,378.00","$4,259,378.00",CA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$22,362,949.00","$22,362,949.00","$1,880,242.03",CNMI,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$2,643,849.00","$2,643,849.00","$2,643,849.00",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$18,144.00","$18,144.00","$18,144.00",GA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$3,558,993.00","$3,558,993.00","$3,558,993.00",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Disaster Education Recovery,Disaster Education Recovery,E- Emergency PL 116-20,Emergency Assistance to Institutions of Higher Education Program ,$0.00,"$426,241.00","$426,241.00","$426,241.00",SC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
ED,Office of Postsecondary Education,College Housing and Academic Facilities Loans Program Account,C- Emergency PL 115-123,HBCU Capital Finance - Katrina Modification,$0.00,"$66,345,164.00","$66,345,164.00","$66,345,164.00",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
ED,Office of Postsecondary Education,College Housing and Academic Facilities Loans Program Account,C- Emergency PL 115-123,HBCU Capital Finance - Katrina Modification,$0.00,"$4,730,935.00","$4,730,935.00","$4,730,935.00",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Hazardous Substance Superfund,C- Emergency PL 115-123,,$0.00,"$16,000.00",$0.00,$0.00,KY,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Hazardous Substance Superfund,C- Emergency PL 115-123,,$0.00,"$300,000.00","$300,000.00","$300,000.00",OK,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Hazardous Substance Superfund,C- Emergency PL 115-123,,$0.00,"$4,421,324.00","$3,700,904.42","$3,700,904.48",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Hazardous Substance Superfund,C- Emergency PL 115-123,,$0.00,"$200,000.00","$200,000.00","$46,002.97",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Hazardous Substance Superfund,C- Emergency PL 115-123,,$0.00,"$686,484.78","$706,485.18","$500,189.25",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,C- Emergency PL 115-123,,$0.00,"$945,000.00","$945,000.00","$667,496.17",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,C- Emergency PL 115-123,,$0.00,"$3,500,000.00","$3,500,000.00","$683,898.00",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,C- Emergency PL 115-123,,$0.00,"$2,155,000.00","$2,155,000.00","$2,105,698.00",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,C- Emergency PL 115-123,,$0.00,"$400,000.00","$400,000.00",$800.00,USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,E- Emergency PL 116-20,LUST,$0.00,"$69,637.00","$69,637.00","$69,636.96",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,Leaking Underground Storage Tank Trust Fund,E- Emergency PL 116-20,LUST,$0.00,"$1,408,000.00","$1,408,000.00","$724,534.91",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,Science and Technology,E- Emergency PL 116-20,Homeland Security: Critical Infrastructure Protection,$0.00,"$600,000.00","$600,000.00","$600,000.00",No State Breakdown,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,C- Emergency PL 115-123,,$0.00,"$40,000,000.00","$13,175,624.00","$964,312.74",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,C- Emergency PL 115-123,,$0.00,"$10,000,000.00","$10,000,000.00","$136,533.00",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$497,904.00","$497,904.00","$451,047.58",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$1,130,700.00","$1,130,700.00","$1,130,700.00",CA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$211,200.00","$211,200.00","$211,200.00",CNMI,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$415,907.75","$415,907.75","$415,907.75",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$557,178.00","$557,178.00","$557,178.00",GA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$1,027,200.00","$1,027,200.00","$624,283.66",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$287,700.00","$287,700.00","$84,842.60",OK,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$417,900.00","$417,900.00","$348,296.00",SC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Categorical Grant:  Pollution Control (Sec. 106),$0.00,"$437,900.00","$437,900.00","$298,515.49",VA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,$0.00,$0.00,$0.00,AK,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$68,000.00","$68,000.00","$68,000.00",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$183,000.00",,$0.00,CA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$312,000.00","$312,000.00","$24,402.79",CNMI,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$53,749,100.00","$53,749,100.00",$0.00,FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$13,743,000.00","$13,743,000.00","$2,627,114.80",GA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$19,193,000.00","$19,193,000.00","$165,801.00",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$150,000.00","$85,869.00","$85,869.00",No State Breakdown,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,$0.00,,$0.00,OK,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,"$12,673,000.00","$12,673,000.00","$6,796,995.00",SC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Clean Water State Revolving Fund,$0.00,$0.00,,,VA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Drinking Water State Revolving Fund,$0.00,$0.00,,$0.00,AK,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
EPA,Environmental Protection Agency,State and Tribal Assistance Grants,E- Emergency PL 116-20,Drinking Water State Revolving Fund,$0.00,"$847,000.00","$847,000.00","$412,735.00",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
